"INDICE","ORDEM","CHAVE","DESCRICAO","DESCSPA","DESCENG","PROPRI","F3","NICKNAME","SHOWPESQ"
"AA1","1","AA1_FILIAL+AA1_CODTEC","Tecnico","Tecnico","Technician","S","AA1","","S"
"AA1","2","AA1_FILIAL+AA1_REGIAO+AA1_CODTEC","Regiao + Tecnico","Region + Tecnico","Area + Technician","S","A2","","S"
"AA1","3","AA1_FILIAL+AA1_NOMUSU","Nome Usuario","Nomb.Usuario","User Name","S","","","S"
"AA1","4","AA1_FILIAL+AA1_CODUSR","Cod. Usuario","Cod. Usuario","User's Code","S","USR","","S"
"AA1","5","AA1_FILIAL+AA1_NOMTEC","Nome Tecnico","Tecnico","Technician","S","","","S"
"AA1","6","AA1_FILIAL+AA1_CODVEN","Cod Vendedor","Cod Vendedor","Rep´s Code","S","","","S"
"AA2","1","AA2_FILIAL+AA2_CODTEC+AA2_ITEM","Tecnico + Item","Tecnico + Item","Technician + Item","S","AA1","","S"
"AA2","2","AA2_FILIAL+AA2_CODTEC+AA2_HABIL","Tecnico + Habilidade","Tecnico + Habilidad","Technician + Skill","S","AA1+A4","","S"
"AA3","1","AA3_FILIAL+AA3_CODCLI+AA3_LOJA+AA3_CODPRO+AA3_NUMSER","Cod. Cliente + Loja + Produto/Eqto + Nr.Serie","Cliente + Tienda + Produc/Equi. + Num. Serie","Customer + Unit + Prod/Equip + Serial Numb.","S","SA1+XXX+SB1","","S"
"AA3","2","AA3_FILIAL+AA3_CONTRT+AA3_CODCLI+AA3_LOJA+AA3_CODPRO+AA3_NUMSER","No.Contrato + Cod. Cliente + Loja + Produto/Eqto + Nr.Serie","Nro. Contrat + Cliente + Tienda + Produc/Equi. + Num. Serie","Contract No. + Customer + Unit + Prod/Equip + Serial Numb.","S","XXX+SA1+XXX+SB1","","S"
"AA3","3","AA3_FILIAL+AA3_CODCLI+AA3_LOJA+AA3_MODELO+AA3_NUMSER","Cod. Cliente + Loja + Modelo + Nr.Serie","Cliente + Tienda + Modelo + Num. Serie","Customer + Unit + Model + Serial Numb.","S","SA1","","S"
"AA3","4","AA3_FILIAL+AA3_CODFAB+AA3_LOJAFA+AA3_CODPRO+AA3_NUMSER","Fabricante + Loja Fabric. + Produto/Eqto + Nr.Serie","Fabricante + Tda. Fabric. + Produc/Equi. + Num. Serie","Manufacturer + Manuf. Unit + Prod/Equip + Serial Numb.","S","SA1+XXX+SB1","","S"
"AA3","5","AA3_FILIAL+AA3_CODTEC","Tecnic.Inst.","Tecn.Respons","Instal.Techn","S","AA1","","S"
"AA3","6","AA3_FILIAL+AA3_NUMSER","Nr.Serie","Num. Serie","Serial Numb.","S","","","S"
"AA3","7","AA3_FILIAL+AA3_CHAPA","Plaqueta","Chapita","Plate","S","","","S"
"AA4","1","AA4_FILIAL+AA4_CODCLI+AA4_LOJA+AA4_CODPRO+AA4_NUMSER+AA4_PRODAC+AA4_NSERAC","Cliente + Loja + Produto/Eqto + Nr.Serie + Acessorio + Nr.Serie Acs","Cliente + Tienda + Produc./Equ. + Nro. Serie + Accesorio + Nr Serie Ac","Customer + Unit + Prod/Equip + Serial No. + Accessory + Access.S.No.","S","SA1+XXX+SB1+XXX+SB1","","S"
"AA4","2","AA4_FILIAL+AA4_CODCLI+AA4_LOJA+AA4_PRODAC+AA4_NSERAC","Cliente + Loja + Acessorio + Nr.Serie Acs","Cliente + Tienda + Accesorio + Nr Serie Acs","Customer + Unit + Accessory + Access.S.No.","S","SA1+XXX+SB1","","S"
"AA4","3","AA4_FILIAL+AA4_CODFAB+AA4_LOJAFA+AA4_CODPRO+AA4_NUMSER+AA4_PRODAC+AA4_NSERAC","Fabricante + Loja Fabric. + Produto/Eqto + Nr.Serie + Acessorio + Nr.S","Fabricante + Tda. Fabric. + Produc./Equ. + Nro. Serie + Accesorio + Nr","Manufacturer + Manuf. Unit + Prod/Equip + Serial No. + Accessory + Acc","S","SA1+XXX+SB1+XXX+SB1","","S"
"AA4","4","AA4_FILIAL+AA4_CODFAB+AA4_LOJAFA+AA4_PRODAC+AA4_NSERAC","Fabricante + Loja Fabric. + Acessorio + Nr.Serie Acs","Fabricante + Tda. Fabric. + Accesorio + Nr Serie Acs","Manufacturer + Manuf. Unit + Accessory + Access.S.No.","S","SA1+XXX+SB1","","S"
"AA5","1","AA5_FILIAL+AA5_CODSER","Serviço","Servicio","Service","S","","","S"
"AA5","2","AA5_FILIAL+AA5_TES","TES","Entr./Salida","TIO","S","","","S"
"AA6","1","AA6_FILIAL+AA6_CODPRO+AA6_CODPRB+AA6_ITEM","Produto/Eqto + Ocorrencia + Item","Produc./Equ. + Ocurrencia + Item","Prod./Equip. + Occurrence + Item","S","SB1+AAG","","S"
"AA7","1","AA7_FILIAL+AA7_CODPRO+AA7_CODPRB+AA7_GRPATE","Produto + Ocorrencia + Grp.Atendim.","Producto + Evento + Grp.Atencion","Product + Occurrence + Servic.Group","S","SB1+AAG+AAP","","S"
"AA7","2","AA7_FILIAL+AA7_GRPATE","Grp.Atendim.","Grp.Atencion","Servic.Group","S","AAP","","S"
"AA8","1","AA8_FILIAL+AA8_PLANO","Cod.Plano","Cod.Plan","Plan Code","S","","","S"
"AA9","1","AA9_FILIAL+AA9_PLANO+AA9_ITEM","Cod. Plano + Item Plano","Cod.Plan + Item Plan","Plan Code + Main.Pl.Item","S","","","S"
"AAA","1","AAA_FILIAL+AAA_CODGRP","Codigo Grupo","Codigo Grupo","Group Code","S","","","S"
"AAB","1","AAB_FILIAL+AAB_CODGRP+AAB_TIPO+AAB_GRUPO+AAB_CODPRO","Codigo Grupo + Tipo + Grupo + Produto","Codigo Grupo + Tipo + Grupo + Producto","Group Code + Type + Group + Product","S","","","S"
"AAC","1","AAC_FILIAL+AAC_CODPRO+AAC_CODPRB+AAC_GRPATE+AAC_ITEM","Produto + Ocorrencia + Grp.Atendim. + Item","Producto + Ocurrencia + Grp.Atencion + Item","Product + Occurrence + Serv.Group + Item","S","","","S"
"AAD","1","AAD_FILIAL+AAD_CODIND","Codigo","Codigo","Code","S","AAD","","S"
"AAE","1","AAE_FILIAL+AAE_CODIND+DTOS(AAE_DATA)","Codigo + Data","Codigo + Fecha","Code + Date","S","AAD","","S"
"AAE","2","AAE_FILIAL+DTOS(AAE_DATA)+AAE_CODIND","Data + Codigo","Fecha + Codigo","Date + Code","S","XXX+AAD","","S"
