"X2_CHAVE","X2_PATH","X2_ARQUIVO","X2_NOME","X2_NOMESPA","X2_NOMEENG","X2_ROTINA","X2_MODO","X2_DELET","X2_TTS","X2_UNICO","X2_PYME"
"AA1","\DATA\","AA1990","CADASTRO DE TECNICOS","ARCHIVO DE TECNICOS","TECHNICIANS FILE","","C","0","","AA1_FILIAL+AA1_CODTEC","S"
"AA2","\DATA\","AA2990","HABILIDADES DO TECNICO","HABILIDADES DEL TECNICO","TECHNICIAN SKILLS","","C","0","","AA2_FILIAL+AA2_CODTEC+AA2_HABIL","S"
"AA3","\DATA\","AA3990","BASE INSTALADA","BASE INSTALADA","INSTALLED BASE","","C","0","","AA3_FILIAL+AA3_CODFAB+AA3_LOJAFA+AA3_CODPRO+AA3_NUMSER","S"
"AA4","\DATA\","AA4990","ACESSORIOS DA BASE INSTALADA","ACCESORIOS DE BASE INSTALADA","INSTALLED BASE ACCESSORIES","","C","0","","AA4_FILIAL+AA4_CODFAB+AA4_LOJAFA+AA4_PRODAC+AA4_NSERAC","S"
"AA5","\DATA\","AA5990","CADASTRO DE SERVICOS","ARCHIVO DE SERVICIOS","SERVICE FILE","","C","0","","AA5_FILIAL+AA5_CODSER","S"
"AA6","\DATA\","AA6990","KITS DE ATENDIMENTO","KIT DE ATENCION","SERVICE KITS","","C","0","","AA6_FILIAL+AA6_CODPRO+AA6_CODPRB+AA6_PRODUT","S"
"AA7","\DATA\","AA7990","PRODUTO X OCORRENCIA","PRODUCTO VS. OCURRENCIA","PRODUCT X OCCURRENCE","","C","0","","AA7_FILIAL+AA7_CODPRO+AA7_CODPRB+AA7_GRPATE","S"
"AA8","\DATA\","AA8990","PLANO DE MANUTENÃAO","PLAN DE MANTENIMIENTO","MAINTENANCE PLAN","","C","0","","AA8_FILIAL+AA8_PLANO","S"
"AA9","\DATA\","AA9990","ITENS DO PLANO DE MANUTENÃAO","ITEMES PLAN MANTENIMIENTO","MAINTENANCE PLAN ITEMS","","C","0","","AA9_FILIAL+AA9_PLANO+AA9_ITEM","S"
"AAA","\DATA\","AAA990","CADASTRO GRUPOS DE COBERTURA","ARCHIVO GRUPOS DE COBERTURA","COVERAGE GROUP FILE","","C","0","","AAA_FILIAL+AAA_CODGRP","S"
"AAB","\DATA\","AAB990","ITENS DO GRUPO DE COBERTURA","ITEMES DEL GRUPO DE COBERTURA","COVERAGE GROUP ITEMS","","C","0","","AAB_FILIAL+AAB_CODGRP+AAB_TIPO+AAB_GRUPO+AAB_CODPRO+AAB_CODSER","S"
"AAC","\DATA\","AAC990","HABILIDADES DA AMARRACAO","HABILIDADES DEL VINCULO","BINDING CHARACTERISTICS","","C","0","","AAC_FILIAL+AAC_CODPRO+AAC_CODPRB+AAC_GRPATE+AAC_HABIL","S"
"AAD","\DATA\","AAD990","INDICES","INDICES","INDEXES","","C","0","","AAD_FILIAL+AAD_CODIND","S"
