"X7_CAMPO","X7_SEQUENC","X7_REGRA","X7_CDOMIN","X7_TIPO","X7_SEEK","X7_ALIAS","X7_ORDEM","X7_CHAVE","X7_CONDIC","X7_PROPRI"
"A1_CDRDES","001","DUY->DUY_DESCRI","A1_REGDES","P","S","DUY","1","xFilial()+M->A1_CDRDES","!Empty(M->A1_CDRDES)","S"
"A1_CGC","001","N12->N12_NOME","A1_NOME","P","S","N12","1","XFILIAL(""N12"")+M->A1_CGC","GETNEWPAR(""MV_SIGAGSP"",""0"")==""1""","S"
"A1_CGC","002","N12->N12_END","A1_END","P","N","","0","","GETNEWPAR(""MV_SIGAGSP"",""0"")==""1""","S"
"A1_CGC","003","N12->N12_BAIRRO","A1_BAIRRO","P","N","","0","","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"A1_CGC","004","N12->N12_CEP","A1_CEP","P","N","","0","","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"A1_CGC","005","N12->N12_EST","A1_EST","P","N","","0","","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"A1_CGC","006","N12->N12_MUN","A1_MUN","P","N","","0","","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"A1_CGC","007","N12->N12_RG","A1_RG","P","N","","0","","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"A1_CGC","008","N12->N12_DTNASC","A1_DTNASC","P","N","","0","","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"A1_CGC","009","N12->N12_EMAIL","A1_EMAIL","P","N","","0","","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"A1_CGC","010","N12->N12_HPAGE","A1_HPAGE","P","N","","0","","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"A1_CONDPAG","001","M->A1_DESCPAG:=SY6->(MSMM(SY6->Y6_DESC_P,50,,,3))","A1_DESCPAG","P","S","SY6","1","XFILIAL(""SY6"")+M->A1_CONDPAG+STR(M->A1_DIASPAG,AVSX3(""A1_DIASPAG"",3))","!EMPTY(M->A1_CONDPAG)","S"
"A1_DIASPAG","001","M->A1_DESCPAG:=SY6->(MSMM(SY6->Y6_DESC_P,50,,,3))","A1_DESCPAG","P","S","SY6","1","XFILIAL(""SY6"")+M->A1_CONDPAG+STR(M->A1_DIASPAG,AVSX3(""A1_DIASPAG"",3))","!EMPTY(M->A1_DIASPAG)","S"
"A1_PAIS","001","M->A1_PAISDES:=SYA->YA_DESCR","A1_PAISDES","P","S","SYA","1","xFilial(""SYA"")+M->A1_PAIS","!EMPTY(M->A1_PAIS)","S"
"A1_SATIV1","001","X5DESCRI()","A1_DSATIV1","P","S","SX5","1","xFilial(""SX5"")+ ""T3"" + M->A1_SATIV1","","S"
"A1_SATIV2","001","X5DESCRI()","A1_DSATIV2","P","S","SX5","1","xFilial(""SX5"") + ""T3"" + M->A1_SATIV2","","S"
"A1_SATIV3","001","X5DESCRI()","A1_DSATIV3","P","S","SX5","1","xFilial(""SX5"") + ""T3"" + M->A1_SATIV3","","S"
"A1_SATIV4","001","X5DESCRI()","A1_DSATIV4","P","S","SX5","1","xFilial(""SX5"") + ""T3"" + M->A1_SATIV4","","S"
"A1_SATIV5","001","X5DESCRI()","A1_DSATIV5","P","S","SX5","1","xFilial(""SX5"") + ""T3"" + M->A1_SATIV5","","S"
"A1_SATIV6","001","X5DESCRI()","A1_DSATIV6","P","S","SX5","1","xFilial(""SX5"") + ""T3"" + M->A1_SATIV6","","S"
"A1_SATIV7","001","X5DESCRI()","A1_DSATIV7","P","S","SX5","1","xFilial(""SX5"") + ""T3"" + M->A1_SATIV7","","S"
"A1_SATIV8","001","X5DESCRI()","A1_DSATIV8","P","S","SX5","1","xFilial(""SX5"") + ""T3"" + M->A1_SATIV8","","S"
"A1_SUBCOD","001","GSPFNVCOD1(""SA1"",""A1_COD"",1,M->A1_SUBCOD)","A1_COD","P","N","","0","","INCLUI","S"
"A2_BANCO","001","BCOAGE(M->A2_BANCO)","A2_AGENCIA","P","N","","0","","","S"
"A2_BANCO","002","SA6->A6_NUMCON","A2_NUMCON","P","N","","0","","","S"
"A2_CGC","001","N12->N12_NOME","A2_NOME","P","S","N12","1","XFILIAL(""N12"")+M->A2_CFG","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"A2_CGC","002","N12->N12_END","A2_END","P","N","","0","","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"A2_CGC","003","N12->N12_BAIRRO","A2_BAIRRO","P","N","","0","","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"A2_CGC","004","N12->N12_CEP","A2_CEP","P","N","","0","","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"A2_CGC","005","N12->N12_EST","A2_EST","P","N","","0","","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"A2_CGC","006","N12->N12_MUN","A2_MUN","P","N","","0","","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"A2_CGC","007","N12->N12_EMAIL","A2_EMAIL","P","N","","0","","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"A2_CGC","008","N12->N12_HPAGE","A2_HPAGE","P","N","","0","","GETNEWPAR(""MV_SIGAGSP"",""0"") == ""1""","S"
"A2_CODFAV","001","Posicione( ""SA2"", 1, xFilial(""SA2"") + M->A2_CODFAV + M->A2_LOJFAV, ""A2_NOME"" )","A2_NOMFAV","P","","","0","","","S"
"A2_DTAVA","001","A2_DTAVA + 365","A2_DTVAL","P","N","","0","","QE100GaDA()","S"
"A2_EMAIL","001","LOWER(M->A2_EMAIL)","A2_EMAIL","P","N","","0","","","S"
"A2_ID_FBFN","001","X5DESCRI()","A2_ID_FBFN","P","S","SX5","1","xFilial(""SX5"")+""48""+M->A2_ID_FBFN","","S"
"A2_LOJFAV","001","Posicione( ""SA2"", 1, xFilial(""SA2"") + M->A2_CODFAV + M->A2_LOJFAV, ""A2_NOME"" )","A2_NOMFAV","P","","","0","","","S"
"A2_PAIS","001","M->A2_PAISDES:=SYA->YA_DESCR","A2_PAISDES","P","S","SYA","1","xFilial(""SYA"")+M->A2_PAIS","!EMPTY(M->A2_PAIS)","S"
"A2_REPR_BA","001","IF(EMPTY(ALLTRIM(M->A2_REPR_BA)),"""",SA6->A6_AGENCIA)","A2_REPR_AG","P","N","","0","","","S"
"A2_REPR_EM","001","LOWER(M->A2_REPR_EM)","A2_REPR_EM","P","N","","0","","","S"
"A2_SUBCOD","001","GSPFNVCOD1(""SA2,""A2_COD"",1,M->A2_SUBCOD)","A2_COD","P","","","0","","INCLUI","S"
"A2_TIPAWB","001","X5Descri()","A2_DTPAWB","P","S","SX5","1","xFilial(""SX5"")+""MF""+M->A2_TIPAWB","","S"
"A3_FORNECE","001","Space(Len(SA3->A3_LOJA))","A3_LOJA","P","","","0","","Empty(M->A3_FORNECE)","S"
"A3_LOJA","001","""""","A3_FORNECE","P","","","0","","Empty( M->A3_LOJA )","S"
"A5_CODTAB","001","AIA->AIA_DESCRI","A5_DSCTAB","P","S","AIA","1","xFilial(""AIA"")+M->A5_FORNECE+M->A5_LOJA+M->A5_CODTAB","","S"
"A5_DTRIAI","001","A5_DTRIAI + 365","A5_VALRIAI","P","N","","0","","EMPTY(A5_VALRIAI).AND.!EMPTY(A5_DTRIAI)","S"
"A5_FABR","001","SA2->A2_NREDUZ","A5_FABRRED","P","S","SA2","1","xFilial(""SA2"")+M->A5_FABR","","S"
"A5_FABR","002","SA2->A2_LOJA","A5_FALOJA","P","S","SA2","1","xFilial(""SA2"")+M->A5_FABR","nModulo=17.or.nModulo=30.or.nModulo=31","S"
"A5_FORNECE","001","SA2->A2_LOJA","A5_LOJA","P","S","SA2","1","xFilial(""SA2"")+M->A5_FORNECE+IIF(SA2->A2_COD==M->A5_FORNECE,SA2->A2_LOJA,"""")","nModulo<>21","S"
"A5_FORNECE","002","SA2->A2_NOME","A5_NOMEFOR","P","S","SA2","1","Iif(Empty(M->A5_LOJA),xFilial(""SA2"")+M->A5_FORNECE,xFilial(""SA5"")+M->A5_FORNECE+M->A5_LOJA)","","S"
"A5_FORNECE","003","AIA->AIA_DESCRI","A5_DSCTAB","P","S","AIA","1","xFilial(""AIA"")+M->A5_FORNECE+M->A5_LOJA+M->A5_CODTAB","","S"
"A5_FORNECE","004","SA2->A2_NREDUZ","A5_NOMERED","P","S","SA2","1","xFilial(""SA2"")+M->A5_FORNECE","nModulo<>21","S"
"A5_FORNECE","005","AIA->AIA_DESCRI","A5_DSCTAB","P","S","AIA","1","xFilial(""AIA"")+M->A5_FORNECE+M->A5_LOJA+M->A5_CODTAB","","S"
"A5_LOJA","001","SA2->A2_NOME","A5_NOMEFOR","P","S","SA2","1","xFilial(""SA2"")+M->A5_FORNECE+M->A5_LOJA","","S"
"A5_PRODUTO","001","SB1->B1_DESC","A5_NOMPROD","P","S","SB1","1","xFilial(""SB1"")+M->A5_PRODUTO","","S"
"A6_BLOCKED","001","CTOD(""//"")","A6_DTBLOQ","P","N","","0","","M->A6_BLOCKED == ""2""","S"
"A6_CODCLI","001","SA1->A1_LOJA","A6_LOJCLI","P","N","","0","","!EMPTY(M->A6_CODCLI)","S"
"A6_CODFOR","001","SA2->A2_LOJA","A6_LOJFOR","P","N","","0","","!EMPTY(M->A6_CODFOR)","S"
"A6_COD_P","001","SYA->YA_DESCR","A6_DESCPAI","P","S","SYA","1","xFilial(""SYA"")+M->A6_COD_P","","S"
"AA1_CODFOR","001","SA2->A2_LOJA","AA1_LOJFOR","P","S","SA2","1","xFilial(""SA2"")+M->AA1_CODFOR+IIF(SA2->A2_COD==M->AA1_CODFOR,SA2->A2_LOJA,"""")","","S"
"AA1_CODFOR","002","SA2->A2_NOME","AA1_NOMFOR","P","S","SA2","1","Iif(Empty(M->AA1_LOJFOR),xFilial(""SA2"")+M->AA1_CODFOR,xFilial(""AA1"")+M->AA1_CODFOR+M->AA1_LOJFOR)","","S"
"AA1_LOJFOR","001","SA2->A2_NOME","AA1_NOMFOR","P","S","SA2","1","xFilial(""SA2"")+M->AA1_CODFOR+M->AA1_LOJFOR","","S"
"AA1_RATE","001","( AA1_VALOR * AA1_RATE ) / 100","AA1_CUSTO","P","N","","0","","","S"
"AA1_VALOR","001","( AA1_RATE * AA1_VALOR ) / 100","AA1_CUSTO","P","N","","0","","!EMPTY( AA1_RATE )","S"
